,site
0,https://lol.gamepedia.com/Aatrox
1,https://lol.gamepedia.com/Absolute_Focus_(Rune)
2,https://lol.gamepedia.com/Abyssal_Mask_(Item)
3,https://lol.gamepedia.com/Abyssal_Scepter_(Item)
4,https://lol.gamepedia.com/Adaptive_Helm_(Item)
5,https://lol.gamepedia.com/Aegis_of_the_Legion_(Item)
6,https://lol.gamepedia.com/Aether_Wisp_(Item)
7,https://lol.gamepedia.com/Aftershock_(Rune)
8,https://lol.gamepedia.com/Ahri
9,https://lol.gamepedia.com/Akali
10,https://lol.gamepedia.com/Alistar
11,https://lol.gamepedia.com/Amplifying_Tome_(Item)
12,https://lol.gamepedia.com/Amumu
13,https://lol.gamepedia.com/Ancient_Coin_(Item)
14,https://lol.gamepedia.com/Ancient_Golem
15,https://lol.gamepedia.com/Ancient_Krug
16,https://lol.gamepedia.com/Ancient_Pocket_Watch_(Item)
17,https://lol.gamepedia.com/Anivia
18,https://lol.gamepedia.com/Annie
19,https://lol.gamepedia.com/Anti-Turret_Cannon
20,https://lol.gamepedia.com/Aphelios
21,https://lol.gamepedia.com/Approach_Velocity_(Rune)
22,https://lol.gamepedia.com/Arcane_Comet_(Rune)
23,https://lol.gamepedia.com/Arcane_Helix_(Item)
24,https://lol.gamepedia.com/Arcane_Sweeper_(Item)
25,https://lol.gamepedia.com/Arcane_Sweeper_(Trinket)_(Item)
26,https://lol.gamepedia.com/Archangel%27s_Staff_(Item)
27,https://lol.gamepedia.com/Ardent_Censer_(Item)
28,https://lol.gamepedia.com/Ascension_(Game_Mode)
29,https://lol.gamepedia.com/Ashe
30,https://lol.gamepedia.com/Aspect_of_the_Dragon
31,https://lol.gamepedia.com/Athene%27s_Unholy_Grail_(Item)
32,https://lol.gamepedia.com/Atma%27s_Impaler_(Item)
33,https://lol.gamepedia.com/Atma%27s_Reckoning_(Item)
34,https://lol.gamepedia.com/Aurelion_Sol
35,https://lol.gamepedia.com/Avarice_Blade_(Item)
36,https://lol.gamepedia.com/Azir
37,https://lol.gamepedia.com/Bag_of_Tea_(Item)
38,https://lol.gamepedia.com/Bami%27s_Cinder_(Item)
39,https://lol.gamepedia.com/Banner_of_Command_(Item)
40,https://lol.gamepedia.com/Banshee%27s_Veil_(Item)
41,https://lol.gamepedia.com/Bard
42,https://lol.gamepedia.com/Baron_Nashor
43,https://lol.gamepedia.com/Barrier
44,https://lol.gamepedia.com/Barrier_(Summoner_Spell)
45,https://lol.gamepedia.com/Berserker%27s_Greaves_(Item)
46,https://lol.gamepedia.com/B.F._Sword_(Item)
47,https://lol.gamepedia.com/Big_Golem
48,https://lol.gamepedia.com/Bilgewater_Cutlass_(Item)
49,https://lol.gamepedia.com/Biscuit_Delivery_(Rune)
50,https://lol.gamepedia.com/Blackfire_Torch_(Item)
51,https://lol.gamepedia.com/Black_Market_Brawlers_(Game_Mode)
52,https://lol.gamepedia.com/Blade_of_the_Ruined_King_(Item)
53,https://lol.gamepedia.com/Blasting_Wand_(Item)
54,https://lol.gamepedia.com/Blast_Cone
55,https://lol.gamepedia.com/Blink_Dagger_(Item)
56,https://lol.gamepedia.com/Blitzcrank
57,https://lol.gamepedia.com/Bloodletter%27s_Veil_(Item)
58,https://lol.gamepedia.com/Bloodrazor_(Item)
59,https://lol.gamepedia.com/Blue_Pill_(Item)
60,https://lol.gamepedia.com/Blue_Sentinel
61,https://lol.gamepedia.com/Bonetooth_Necklace_(Item)
62,https://lol.gamepedia.com/Bone_Plating_(Rune)
63,https://lol.gamepedia.com/Boots_of_Mobility_(Item)
64,https://lol.gamepedia.com/Boots_of_Speed_(Item)
65,https://lol.gamepedia.com/Boots_of_Swiftness_(Item)
66,https://lol.gamepedia.com/Bramble_Vest_(Item)
67,https://lol.gamepedia.com/Brand
68,https://lol.gamepedia.com/Braum
69,https://lol.gamepedia.com/Brawler%27s_Gloves_(Item)
70,https://lol.gamepedia.com/Breathstealer_(Item)
71,https://lol.gamepedia.com/Byfire_Bracer_(Item)
72,https://lol.gamepedia.com/Caitlyn
73,https://lol.gamepedia.com/Camille
74,https://lol.gamepedia.com/Cassiopeia
75,https://lol.gamepedia.com/Caster_Minion
76,https://lol.gamepedia.com/Catalyst_of_Aeons_(Item)
77,https://lol.gamepedia.com/Caulfield%27s_Warhammer_(Item)
78,https://lol.gamepedia.com/Celerity_(Rune)
79,https://lol.gamepedia.com/Celestial_Body_(Rune)
80,https://lol.gamepedia.com/Chain_Vest_(Item)
81,https://lol.gamepedia.com/Chalice_of_Harmony_(Item)
82,https://lol.gamepedia.com/Cheap_Shot_(Rune)
83,https://lol.gamepedia.com/Cho%27Gath
84,https://lol.gamepedia.com/Chrysalis_(Rune)
85,https://lol.gamepedia.com/Cinderhulk_(Item)
86,https://lol.gamepedia.com/Cinderling
87,https://lol.gamepedia.com/Circlet_of_the_Iron_Solari_(Item)
88,https://lol.gamepedia.com/Clairvoyance
89,https://lol.gamepedia.com/Clairvoyance_(Summoner_Spell)
90,https://lol.gamepedia.com/Clarity
91,https://lol.gamepedia.com/Clarity_(Summoner_Spell)
92,https://lol.gamepedia.com/Cleanse
93,https://lol.gamepedia.com/Cleanse_(Summoner_Spell)
94,https://lol.gamepedia.com/Clever_Hoop_(Item)
95,https://lol.gamepedia.com/Cloak_and_Dagger_(Item)
96,https://lol.gamepedia.com/Cloak_of_Agility_(Item)
97,https://lol.gamepedia.com/Cloth_Armor_(Item)
98,https://lol.gamepedia.com/Conditioning_(Rune)
99,https://lol.gamepedia.com/Conqueror_(Rune)
100,https://lol.gamepedia.com/Control_Ward_(Item)
101,https://lol.gamepedia.com/Corki
102,https://lol.gamepedia.com/Corrupting_Potion_(Item)
103,https://lol.gamepedia.com/Cosmic_Insight_(Rune)
104,https://lol.gamepedia.com/Coup_de_Grace_(Rune)
105,https://lol.gamepedia.com/Crest_of_Cinders
106,https://lol.gamepedia.com/Crest_of_Crushing_Wrath
107,https://lol.gamepedia.com/Crest_of_Flowing_Water
108,https://lol.gamepedia.com/Crest_of_Insight
109,https://lol.gamepedia.com/Crest_of_Nature%27s_Fury
110,https://lol.gamepedia.com/Crimson_Raptor
111,https://lol.gamepedia.com/Crystalline_Bracer_(Item)
112,https://lol.gamepedia.com/Crystalline_Flask_(Item)
113,https://lol.gamepedia.com/Cull_(Item)
114,https://lol.gamepedia.com/Cut_Down_(Rune)
115,https://lol.gamepedia.com/Dagger_(Item)
116,https://lol.gamepedia.com/Darius
117,https://lol.gamepedia.com/Dark_Harvest_(Rune)
118,https://lol.gamepedia.com/Dark_Star_Mordekaiser
119,https://lol.gamepedia.com/Dark_Star_Xerath
120,https://lol.gamepedia.com/Dead_Man%27s_Plate_(Item)
121,https://lol.gamepedia.com/Death%27s_Dance_(Item)
122,https://lol.gamepedia.com/Deathfire_Grasp_(Item)
123,https://lol.gamepedia.com/Definitely_Not_Dominion
124,https://lol.gamepedia.com/Demolish_(Rune)
125,https://lol.gamepedia.com/Dervish_Blade_(Item)
126,https://lol.gamepedia.com/Devourer_(Item)
127,https://lol.gamepedia.com/Diana
128,https://lol.gamepedia.com/Doran%27s_Blade_(Item)
129,https://lol.gamepedia.com/Doran%27s_Lost_Blade_(Item)
130,https://lol.gamepedia.com/Doran%27s_Lost_Idol_(Item)
131,https://lol.gamepedia.com/Doran%27s_Lost_Ring_(Item)
132,https://lol.gamepedia.com/Doran%27s_Lost_Shield_(Item)
133,https://lol.gamepedia.com/Doran%27s_Ring_(Item)
134,https://lol.gamepedia.com/Doran%27s_Shield_(Item)
135,https://lol.gamepedia.com/Dragon_(Monster)
136,https://lol.gamepedia.com/Dragon_Slayer
137,https://lol.gamepedia.com/Draven
138,https://lol.gamepedia.com/Dr._Mundo
139,https://lol.gamepedia.com/Duskblade_of_Draktharr_(Item)
140,https://lol.gamepedia.com/Ebonmaw
141,https://lol.gamepedia.com/Echo_Fox
142,https://lol.gamepedia.com/Edge_of_Night_(Item)
143,https://lol.gamepedia.com/Ekko
144,https://lol.gamepedia.com/Electrocute_(Rune)
145,https://lol.gamepedia.com/Eleisa%27s_Miracle_(Item)
146,https://lol.gamepedia.com/Elise
147,https://lol.gamepedia.com/Elixir_of_Agility_(Item)
148,https://lol.gamepedia.com/Elixir_of_Brilliance_(Item)
149,https://lol.gamepedia.com/Elixir_of_Fortitude_(Item)
150,https://lol.gamepedia.com/Elixir_of_Iron_(Item)
151,https://lol.gamepedia.com/Elixir_of_Ruin_(Item)
152,https://lol.gamepedia.com/Elixir_of_Sorcery_(Item)
153,https://lol.gamepedia.com/Elixir_of_Wrath_(Item)
154,https://lol.gamepedia.com/Emblem_of_Valor_(Item)
155,https://lol.gamepedia.com/Enchantment_-_Alacrity_(Item)
156,https://lol.gamepedia.com/Enchantment_-_Captain_(Item)
157,https://lol.gamepedia.com/Enchantment_-_Distortion_(Item)
158,https://lol.gamepedia.com/Enchantment_-_Furor_(Item)
159,https://lol.gamepedia.com/Enchantment_-_Homeguard_(Item)
160,https://lol.gamepedia.com/Enchantment_-_Teleport_(Item)
161,https://lol.gamepedia.com/Entropy_(Item)
162,https://lol.gamepedia.com/Espresso_Snax_(Item)
163,https://lol.gamepedia.com/Essence_Reaver_(Item)
164,https://lol.gamepedia.com/Evelynn
165,https://lol.gamepedia.com/Executioner%27s_Calling_(Item)
166,https://lol.gamepedia.com/Exhaust
167,https://lol.gamepedia.com/Exhaust_(Summoner_Spell)
168,https://lol.gamepedia.com/Explorer%27s_Ward_(Item)
169,https://lol.gamepedia.com/Exquisite_Candy_(Item)
170,https://lol.gamepedia.com/Eyeball_Collection_(Rune)
171,https://lol.gamepedia.com/Eye_of_the_Equinox_(Item)
172,https://lol.gamepedia.com/Eye_of_the_Herald
173,https://lol.gamepedia.com/Eye_of_the_Herald_(Item)
174,https://lol.gamepedia.com/Eye_of_the_Oasis_(Item)
175,https://lol.gamepedia.com/Eye_of_the_Watchers_(Item)
176,https://lol.gamepedia.com/Ezreal
177,https://lol.gamepedia.com/Face_of_the_Mountain_(Item)
178,https://lol.gamepedia.com/Faerie_Charm_(Item)
179,https://lol.gamepedia.com/Farsight_Alteration_(Item)
180,https://lol.gamepedia.com/Farsight_Orb_(Item)
181,https://lol.gamepedia.com/Feral_Flare_(Item)
182,https://lol.gamepedia.com/Fiddlesticks
183,https://lol.gamepedia.com/Fiendish_Codex_(Item)
184,https://lol.gamepedia.com/Fiora
185,https://lol.gamepedia.com/Fizz
186,https://lol.gamepedia.com/Flash_(Summoner_Spell)
187,https://lol.gamepedia.com/Fleet_Footwork_(Rune)
188,https://lol.gamepedia.com/Flesheater_(Item)
189,https://lol.gamepedia.com/Font_of_Life_(Rune)
190,https://lol.gamepedia.com/Forbidden_Idol_(Item)
191,https://lol.gamepedia.com/Force_of_Nature_(Item)
192,https://lol.gamepedia.com/Forgefire_Cape_(Item)
193,https://lol.gamepedia.com/Frosted_Snax_(Item)
194,https://lol.gamepedia.com/Frostfang_(Item)
195,https://lol.gamepedia.com/Frost_Queen%27s_Claim_(Item)
196,https://lol.gamepedia.com/Frozen_Heart_(Item)
197,https://lol.gamepedia.com/Frozen_Mallet_(Item)
198,https://lol.gamepedia.com/Furyhorn_Cosplay_Veigar
199,https://lol.gamepedia.com/Future%27s_Market_(Rune)
200,https://lol.gamepedia.com/Galeforce_(Item)
201,https://lol.gamepedia.com/Galio
202,https://lol.gamepedia.com/Gangplank
203,https://lol.gamepedia.com/Garen
204,https://lol.gamepedia.com/Gargoyle_Stoneplate_(Item)
205,https://lol.gamepedia.com/Garrison
206,https://lol.gamepedia.com/Garrison_(Summoner_Spell)
207,https://lol.gamepedia.com/Gathering_Storm_(Rune)
208,https://lol.gamepedia.com/Ghast
209,https://lol.gamepedia.com/Ghostwalkers_(Item)
210,https://lol.gamepedia.com/Ghost
211,https://lol.gamepedia.com/Ghost_Poro_(Rune)
212,https://lol.gamepedia.com/Ghost_(Summoner_Spell)
213,https://lol.gamepedia.com/Giant%27s_Belt_(Item)
214,https://lol.gamepedia.com/Giant_Slayer_(Item)
215,https://lol.gamepedia.com/Giant_Wolf
216,https://lol.gamepedia.com/Gift_of_Heavy_Hands
217,https://lol.gamepedia.com/Gift_of_the_Toadstool
218,https://lol.gamepedia.com/Glacial_Augment_(Rune)
219,https://lol.gamepedia.com/Glacial_Shroud_(Item)
220,https://lol.gamepedia.com/Glimpse_of_the_Void
221,https://lol.gamepedia.com/Globe_of_Trust_(Item)
222,https://lol.gamepedia.com/Gnar
223,https://lol.gamepedia.com/Golden_Transcendence_(Item)
224,https://lol.gamepedia.com/Golem
